,site_type_a,site_type_b,method name,test statistic name,sample size,number of groups,test statistic,p-value,number of permutations,p_val_group,p-val-fdr_bh,p-val-fdr_bg_group
22,NRM,ULO,PERMANOVA,pseudo-F,11,2,13.621394713423426,0.0019,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
23,NRM,ULY,PERMANOVA,pseudo-F,10,2,31.63083663651109,0.0044,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
24,NRO,NRY,PERMANOVA,pseudo-F,12,2,11.767126539898165,0.0023,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
25,NRO,PPO,PERMANOVA,pseudo-F,12,2,3.975061143089889,0.0033,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
26,NRO,PPY,PERMANOVA,pseudo-F,12,2,5.942117596457655,0.0025,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
27,NRO,ULM,PERMANOVA,pseudo-F,12,2,6.644968376959951,0.0114,9999,significant (p < 0.05),0.01603125,significant (p < 0.05)
28,NRO,ULO,PERMANOVA,pseudo-F,11,2,2.915528278434476,0.0595,9999,not significant (p >= 0.5),0.0669375,not significant (p >= 0.5)
29,NRO,ULY,PERMANOVA,pseudo-F,10,2,18.38006971588834,0.0042,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
30,NRY,PPO,PERMANOVA,pseudo-F,12,2,7.101843347604863,0.0047,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
31,NRY,PPY,PERMANOVA,pseudo-F,12,2,1.1717781343243983,0.2966,9999,not significant (p >= 0.5),0.30334090909090905,not significant (p >= 0.5)
32,NRY,ULM,PERMANOVA,pseudo-F,12,2,21.43543089059463,0.0022,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
33,NRY,ULO,PERMANOVA,pseudo-F,11,2,13.356168248705671,0.0024,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
34,NRY,ULY,PERMANOVA,pseudo-F,10,2,11.852216218105134,0.004,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
35,PPO,PPY,PERMANOVA,pseudo-F,12,2,2.3725772877785998,0.1102,9999,not significant (p >= 0.5),0.12095121951219513,not significant (p >= 0.5)
36,PPO,ULM,PERMANOVA,pseudo-F,12,2,6.794976898699313,0.0021,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
37,PPO,ULO,PERMANOVA,pseudo-F,11,2,2.6990690530837216,0.0277,9999,significant (p < 0.05),0.034624999999999996,significant (p < 0.05)
38,PPO,ULY,PERMANOVA,pseudo-F,10,2,11.986568521526516,0.0063,9999,very significant (p < 0.01),0.0118125,significant (p < 0.05)
39,PPY,ULM,PERMANOVA,pseudo-F,12,2,10.225644398864656,0.0023,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
40,PPY,ULO,PERMANOVA,pseudo-F,11,2,5.147837112489974,0.0057,9999,very significant (p < 0.01),0.011152173913043479,significant (p < 0.05)
41,PPY,ULY,PERMANOVA,pseudo-F,10,2,8.222757238411285,0.0093,9999,very significant (p < 0.01),0.014100000000000001,significant (p < 0.05)
42,ULM,ULO,PERMANOVA,pseudo-F,11,2,3.5457572130689314,0.0094,9999,very significant (p < 0.01),0.014100000000000001,significant (p < 0.05)
43,ULM,ULY,PERMANOVA,pseudo-F,10,2,12.887815158873426,0.0045,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
44,ULO,ULY,PERMANOVA,pseudo-F,9,2,13.938780428402218,0.0086,9999,very significant (p < 0.01),0.014100000000000001,significant (p < 0.05)
